id,name,x,y,player_id,rank,unknown
230,%5B001%5D+Rugrat,505,441,849025299,114,0
231,John69Cees+village,516,494,11195909,21,0
232,Barbarian+village,530,475,0,28,0
233,001+Romulus,517,520,11511567,165,0
234,No+Problem,515,525,11512451,179,0
235,jaesang5s+village,520,538,849060339,120,0
236,Barbarian+village,518,484,0,21,0
237,Joed1s+village,499,520,9783638,162,0
238,A01-Blessed,498,523,849051159,66,0
239,Barbarian+village,529,544,0,27,0
240,AAA,497,518,849051173,178,0
241,Barbarian+village,456,517,0,27,0
242,Texas,510,514,849052102,95,0
243,Bonus+village,497,465,0,27,6
244,DERANGED+TOWN,497,506,849055751,187,0
245,Barbarian+village,533,526,0,27,0
246,ownag4lif3s+village,483,517,849061101,64,0
247,Barbarian+village,561,529,0,21,0
248,Kronkowskis+village,506,509,849061544,77,0
249,Randysavages+village,501,522,849062712,21,0
250,Barbarian+village,530,483,0,21,0
251,Bonus+village,479,570,0,27,6
252,lnwvoshows+village,488,526,1985758,187,0
253,phoenix1958,491,518,2619058,188,0
254,Bonus+village,551,494,0,21,2
255,King+Boltons+village,497,533,4383580,21,0
256,Barbarian+village,477,458,0,21,0
257,skidmarks+village,491,524,4395479,124,0
258,Barbarian+village,487,481,0,21,0
259,RaJkU,488,529,7575600,99,0
260,Extemded+Villages+village,493,527,7607052,21,0
261,Active+But+Lazy+Gamers+village,481,539,9177385,21,0
262,calvinjjs+village,496,536,10585605,21,0
263,Anonymous+Vill,499,522,11359671,187,0
264,Barbarian+village,467,494,0,21,0
265,JazzChopsMans+village,502,514,11575206,39,0
266,Barbarian+village,475,514,0,21,0
267,cheerjabbers+village,497,521,849056764,21,0
268,Barbarian+village,432,533,0,21,0
269,nahoj77s+village,508,517,849053162,78,0
270,Bonus+village,435,541,0,21,1
271,Arkests+village,496,507,391798,21,0
272,capeguys+village,482,519,11535339,46,0
273,Barbarian+village,456,481,0,21,0
274,iiRoseJudys+village,486,509,9201137,50,0
275,Barbarian+village,535,474,0,27,0
276,proteuss+village,488,542,11431704,96,0
277,Collaterals+village,504,532,11548978,21,0
278,Barbarian+village,465,439,0,21,0
279,2020s+village,498,515,11590200,21,0
280,Barbarian+village,510,571,0,21,0
281,Lord+Lugnutss+village,496,541,11596406,115,0
282,totundracs+village,498,534,11446205,167,0
283,Barbarian+village,479,449,0,21,0
284,lightchasers+village,493,525,848960978,21,0
285,Barbarian+village,443,497,0,28,0
286,holahas+village,489,521,848978598,159,0
287,Barbarian+village,498,545,0,22,0
288,Mjauuuus+village,469,514,849044850,21,0
289,Before+I+Falls+village,472,539,849046854,21,0
290,Barbarian+village,548,508,0,21,0
291,YanaMss+village,494,545,849046873,96,0
292,shaivians+village,471,525,849047380,79,0
293,Barbarian+village,491,544,0,21,0
294,001,495,509,849047446,175,0
295,Natwombes+village,484,523,849056157,148,0
296,Dragonstone,467,500,8983665,88,0
297,House+of+Dragons,465,505,9848619,88,0
