2223359,lionguard32,13,1,1866,794
2254989,Phatmonkey,58,1,1228,2463
2278888,HENDOGG,462,1,1586,1515
2283615,buffaloman,134,1,547,4048
2301257,busterwagner,0,1,1262,2394
2307938,Mixamatosis,74,1,1736,1103
2317041,Brian+Hodgson,291,1,1431,1961
2327672,Hells+Toy+Master,0,1,31,6290
2334434,plictno,28,1,1770,1027
2343884,swamprati,152,1,1862,803
2350982,1234pistal,0,1,808,3519
2351548,Leo+van+de+Rin,107,1,2091,300
2356576,jontoh,467,1,1025,3003
2359863,rumagim,353,1,827,3450
2365031,zanozano,107,1,1204,2530
2366730,anarhija,0,1,47,6950
2372905,mcd71,266,1,2070,343
2379810,stuten,505,1,1375,2151
2444873,amsiiii,0,1,628,3874
2462502,felipeorelha,0,1,375,4452
2471016,dukefan7777777,0,1,488,4183
2472169,Duellona,57,1,390,4409
2473439,rathina,41,1,2003,465
2487178,goroj,462,1,1925,642
2498266,Shadowbladed,0,1,837,3421
2503236,slay+slay4,0,1,21,6329
2505758,gromril,111,1,1375,2125
2509092,leatherblood,369,1,1234,2560
2516919,juicyhog,0,1,21,6330
2521942,supermario69,0,1,180,5180
2541041,edwardx,468,1,1267,2383
2573942,tibor2k3,352,1,1455,1899
2610884,rayearthm,48,1,2130,256
2619058,phoenix1958,203,1,1988,554
2621510,No+Bo+Di,44,1,840,3433
2628825,Army+of+2,352,1,1802,1138
2629183,dastrup,266,1,2002,469
2632667,docileone,100,1,854,3384
2641078,kjpker,0,1,43,6179
2648966,bevans-girl,260,1,1519,1727
2660422,gigiplete,204,1,2448,20
2667505,saintcf1,279,1,1106,2793
2690692,Zgobituary,0,1,162,5282
2698420,jasonrose,332,1,1914,668
2699112,Sir+Vinnie,0,1,21,6331
2700839,Fratibus,369,1,411,4385
2712859,nanarusyana,0,1,509,4139
2723416,Shukketsu,115,1,1131,2728
2735260,returnofthelord,8,1,1406,2035
2736152,horriblemoe,0,1,42,6214
2737411,kit1994,199,1,997,3122
2740341,KopForThat,0,1,658,3796
2741955,alright%3F%3F%3F,0,1,82,5753
2745027,Slow+Step,0,1,21,6332
2764142,Sgt%40Arms,452,1,1062,2917
2769400,dannaddan,416,1,597,3929
2779219,weak24,84,1,1090,2839
2810637,shifty678,0,1,61,5991
2819640,georgerose,0,1,21,6333
2834599,truenight,40,1,1130,2820
2838364,clarkey511,0,1,43,6180
2861935,blah99,192,1,1029,3042
2900891,kinggong,0,1,172,5228
2915775,shaggey69,0,1,215,4965
2917182,ajax+from+mars,0,1,1327,2265
2930763,pongdang,381,1,2078,399
2933530,caz7,0,1,41,6227
2941010,ASHOKA1,407,1,2311,123
2948330,yamagoya,35,1,868,3353
2954234,Supernova,95,1,1442,1933
2961987,memec+man,152,1,1468,1864
2962997,screamoemo,468,1,561,4013
2964697,cnor,0,1,229,4918
2998342,atid99,81,1,1077,2913
3016894,hellsjester,322,1,1219,2520
3030369,harrydon,578,1,1109,2782
3056291,Chatsworth9,4,1,1061,2919
3091520,yahzulu,587,1,335,4575
3096151,0utl4w,98,1,894,3372
3122010,little+jac,383,1,1736,1250
3148403,Xfire,0,1,21,6334
3148926,astronigel,0,1,595,3936
3163112,DanCole,81,1,1213,2611
3167251,kenk124,0,1,527,4102
3183912,mikec911,382,1,1367,2144
3187504,bballer1119,0,1,1634,1407
3188556,T%2AT%2AG+army+of+2,538,1,1631,1384
3194756,catfish+guy,36,1,1645,1347
3195341,mad+sully,578,1,2173,208
3239984,lewsley86,104,1,1746,1252
3265086,1814lian,58,1,1325,2234
3293146,Deathdeala,423,1,1466,1868
3296113,webbldr,35,1,541,4070
3320857,bull9635970,566,1,1802,948
3330183,The+Sleepless+Elite,452,1,1304,2356
3345430,first-viking,72,1,1958,571
3355718,sinnersam,209,1,968,3137
3361700,anningg,236,1,1053,2931
3364946,PsychoSurefire,369,1,593,3953
3396902,iseeyou,154,1,223,4960
3406248,Dont+Wake+The+Dead,209,1,1655,1319
3407059,lutetey99,13,1,2082,319
3420041,Jackparadise,134,1,620,3908
3423151,-Lenno-,0,1,871,3345
3427672,macdraconic,0,1,505,4147
